2022-01-25 13:00:54 startup archives unpack
2022-01-25 13:00:54 install locales-all:amd64 <none> 2.28-10
2022-01-25 13:00:54 status half-installed locales-all:amd64 2.28-10
2022-01-25 13:00:57 status unpacked locales-all:amd64 2.28-10
2022-01-25 13:00:57 startup packages configure
2022-01-25 13:00:57 configure locales-all:amd64 2.28-10 <none>
2022-01-25 13:00:57 status unpacked locales-all:amd64 2.28-10
2022-01-25 13:00:57 status half-configured locales-all:amd64 2.28-10
2022-01-25 13:00:57 status installed locales-all:amd64 2.28-10
2022-01-26 14:43:39 startup archives unpack
2022-01-26 14:43:39 install fail2ban:all <none> 0.10.2-2.1
2022-01-26 14:43:39 status half-installed fail2ban:all 0.10.2-2.1
2022-01-26 14:43:39 status triggers-pending systemd:amd64 241-7~deb10u8
2022-01-26 14:43:39 status triggers-pending man-db:amd64 2.8.5-2
2022-01-26 14:43:39 status unpacked fail2ban:all 0.10.2-2.1
2022-01-26 14:43:39 install python3-pyinotify:all <none> 0.9.6-1
2022-01-26 14:43:39 status half-installed python3-pyinotify:all 0.9.6-1
2022-01-26 14:43:39 status unpacked python3-pyinotify:all 0.9.6-1
2022-01-26 14:43:39 install python3-systemd:amd64 <none> 234-2+b1
2022-01-26 14:43:39 status half-installed python3-systemd:amd64 234-2+b1
2022-01-26 14:43:39 status unpacked python3-systemd:amd64 234-2+b1
2022-01-26 14:43:39 startup packages configure
2022-01-26 14:43:39 configure fail2ban:all 0.10.2-2.1 <none>
2022-01-26 14:43:39 status unpacked fail2ban:all 0.10.2-2.1
2022-01-26 14:43:41 status half-configured fail2ban:all 0.10.2-2.1
2022-01-26 14:43:42 status installed fail2ban:all 0.10.2-2.1
2022-01-26 14:43:42 configure python3-pyinotify:all 0.9.6-1 <none>
2022-01-26 14:43:42 status unpacked python3-pyinotify:all 0.9.6-1
2022-01-26 14:43:42 status half-configured python3-pyinotify:all 0.9.6-1
2022-01-26 14:43:42 status installed python3-pyinotify:all 0.9.6-1
2022-01-26 14:43:42 configure python3-systemd:amd64 234-2+b1 <none>
2022-01-26 14:43:42 status unpacked python3-systemd:amd64 234-2+b1
2022-01-26 14:43:42 status half-configured python3-systemd:amd64 234-2+b1
2022-01-26 14:43:42 status installed python3-systemd:amd64 234-2+b1
2022-01-26 14:43:42 trigproc man-db:amd64 2.8.5-2 <none>
2022-01-26 14:43:42 status half-configured man-db:amd64 2.8.5-2
2022-01-26 14:43:43 status installed man-db:amd64 2.8.5-2
2022-01-26 14:43:43 trigproc systemd:amd64 241-7~deb10u8 <none>
2022-01-26 14:43:43 status half-configured systemd:amd64 241-7~deb10u8
2022-01-26 14:43:43 status installed systemd:amd64 241-7~deb10u8
2022-01-26 14:43:50 startup archives unpack
2022-01-26 14:43:50 install libsigsegv2:amd64 <none> 2.12-2
2022-01-26 14:43:50 status triggers-pending libc-bin:amd64 2.28-10
2022-01-26 14:43:50 status half-installed libsigsegv2:amd64 2.12-2
2022-01-26 14:43:50 status unpacked libsigsegv2:amd64 2.12-2
2022-01-26 14:43:50 install m4:amd64 <none> 1.4.18-2
2022-01-26 14:43:50 status half-installed m4:amd64 1.4.18-2
2022-01-26 14:43:51 status triggers-pending man-db:amd64 2.8.5-2
2022-01-26 14:43:51 status unpacked m4:amd64 1.4.18-2
2022-01-26 14:43:51 install make:amd64 <none> 4.2.1-1.2
2022-01-26 14:43:51 status half-installed make:amd64 4.2.1-1.2
2022-01-26 14:43:51 status unpacked make:amd64 4.2.1-1.2
2022-01-26 14:43:51 install liblockfile1:amd64 <none> 1.14-1.1
2022-01-26 14:43:51 status half-installed liblockfile1:amd64 1.14-1.1
2022-01-26 14:43:51 status unpacked liblockfile1:amd64 1.14-1.1
2022-01-26 14:43:51 install lockfile-progs:amd64 <none> 0.1.18
2022-01-26 14:43:51 status half-installed lockfile-progs:amd64 0.1.18
2022-01-26 14:43:51 status unpacked lockfile-progs:amd64 0.1.18
2022-01-26 14:43:51 install sendmail-base:all <none> 8.15.2-14~deb10u1
2022-01-26 14:43:51 status half-installed sendmail-base:all 8.15.2-14~deb10u1
2022-01-26 14:43:51 status unpacked sendmail-base:all 8.15.2-14~deb10u1
2022-01-26 14:43:51 install sendmail-cf:all <none> 8.15.2-14~deb10u1
2022-01-26 14:43:51 status half-installed sendmail-cf:all 8.15.2-14~deb10u1
2022-01-26 14:43:51 status unpacked sendmail-cf:all 8.15.2-14~deb10u1
2022-01-26 14:43:51 install sendmail-bin:amd64 <none> 8.15.2-14~deb10u1
2022-01-26 14:43:51 status half-installed sendmail-bin:amd64 8.15.2-14~deb10u1
2022-01-26 14:43:51 status triggers-pending systemd:amd64 241-7~deb10u8
2022-01-26 14:43:51 status unpacked sendmail-bin:amd64 8.15.2-14~deb10u1
2022-01-26 14:43:51 install procmail:amd64 <none> 3.22-26
2022-01-26 14:43:51 status half-installed procmail:amd64 3.22-26
2022-01-26 14:43:51 status unpacked procmail:amd64 3.22-26
2022-01-26 14:43:51 install sensible-mda:amd64 <none> 8.15.2-14~deb10u1
2022-01-26 14:43:51 status half-installed sensible-mda:amd64 8.15.2-14~deb10u1
2022-01-26 14:43:51 status unpacked sensible-mda:amd64 8.15.2-14~deb10u1
2022-01-26 14:43:51 install sendmail:all <none> 8.15.2-14~deb10u1
2022-01-26 14:43:51 status half-installed sendmail:all 8.15.2-14~deb10u1
2022-01-26 14:43:51 status unpacked sendmail:all 8.15.2-14~deb10u1
2022-01-26 14:43:52 startup packages configure
2022-01-26 14:43:52 configure make:amd64 4.2.1-1.2 <none>
2022-01-26 14:43:52 status unpacked make:amd64 4.2.1-1.2
2022-01-26 14:43:52 status half-configured make:amd64 4.2.1-1.2
2022-01-26 14:43:52 status installed make:amd64 4.2.1-1.2
2022-01-26 14:43:52 configure libsigsegv2:amd64 2.12-2 <none>
2022-01-26 14:43:52 status unpacked libsigsegv2:amd64 2.12-2
2022-01-26 14:43:52 status half-configured libsigsegv2:amd64 2.12-2
